"liga";"equipo";"estado";"archivo"
"Premier League";"Arsenal";"real";"logos/premier-league/arsenal.png"
"Premier League";"Aston Villa";"real";"logos/premier-league/astonvilla.png"
"Premier League";"Bournemouth";"real";"logos/premier-league/bournemouth.png"
"Premier League";"Brentford";"real";"logos/premier-league/brentford.png"
"Premier League";"Brighton";"real";"logos/premier-league/brighton.png"
"Premier League";"Burnley";"real";"logos/efl championship/burnley.png"
"Premier League";"Chelsea";"real";"logos/premier-league/chelsea.png"
"Premier League";"Crystal Palace";"real";"logos/premier-league/crystalpalace.png"
"Premier League";"Everton";"real";"logos/premier-league/everton.png"
"Premier League";"Fulham";"real";"logos/premier-league/fulham.png"
"Premier League";"Leeds United";"real";"logos/premier-league/leeds.png"
"Premier League";"Liverpool";"real";"logos/premier-league/liverpool.png"
"Premier League";"Manchester City";"real";"logos/premier-league/manchestercity.png"
"Premier League";"Manchester United";"real";"logos/premier-league/manchesterunited.png"
"Premier League";"Newcastle United";"real";"logos/premier-league/newcastle.png"
"Premier League";"Nottingham Forest";"real";"logos/premier-league/nottingham_forest.png"
"Premier League";"Sunderland";"real";"logos/premier-league/sunderland.png"
"Premier League";"Tottenham Hotspur";"real";"logos/premier-league/tottenham.png"
"Premier League";"West Ham United";"real";"logos/efl championship/westham.png"
"Premier League";"Wolverhampton";"real";"logos/efl championship/wolves.png"
"LaLiga";"Deportivo Alavés";"real";"logos/la-liga/alaves.png"
"LaLiga";"Athletic Club";"real";"logos/la-liga/athletic.png"
"LaLiga";"Atlético de Madrid";"real";"logos/la-liga/atlmadrid.png"
"LaLiga";"FC Barcelona";"real";"logos/la-liga/barcelona.png"
"LaLiga";"Celta de Vigo";"real";"logos/la-liga/celta.png"
"LaLiga";"Elche CF";"real";"logos/la-liga/elche.png"
"LaLiga";"RCD Espanyol";"real";"logos/la-liga/espanyol.png"
"LaLiga";"Getafe CF";"real";"logos/la-liga/getafe.png"
"LaLiga";"Girona FC";"real";"logos/la-liga2/girona.png"
"LaLiga";"Levante UD";"real";"logos/la-liga/levante.png"
"LaLiga";"RCD Mallorca";"real";"logos/la-liga2/mallorca.png"
"LaLiga";"CA Osasuna";"real";"logos/la-liga/osasuna.png"
"LaLiga";"Rayo Vallecano";"real";"logos/la-liga/rayovallecano.png"
"LaLiga";"Real Betis";"real";"logos/la-liga/betis.png"
"LaLiga";"Real Madrid";"real";"logos/la-liga/realmadrid.png"
"LaLiga";"Real Oviedo";"real";"logos/la-liga2/realoviedo.png"
"LaLiga";"Real Sociedad";"real";"logos/la-liga/realsociedad.png"
"LaLiga";"Sevilla FC";"real";"logos/la-liga/sevilla.png"
"LaLiga";"Valencia CF";"real";"logos/la-liga/valencia.png"
"LaLiga";"Villarreal CF";"real";"logos/la-liga/villarreal.png"
"Serie A";"Atalanta";"real";"logos/serie a/atalanta.png"
"Serie A";"Bologna";"real";"logos/serie a/bologna.png"
"Serie A";"Cagliari";"real";"logos/serie a/cagliari.png"
"Serie A";"Como";"real";"logos/serie a/como.png"
"Serie A";"Cremonese";"real";"logos/serie b/cremonese.png"
"Serie A";"Fiorentina";"real";"logos/serie a/fiorentina.png"
"Serie A";"Genoa";"real";"logos/serie a/genoa.png"
"Serie A";"Hellas Verona";"real";"logos/serie b/hellasverona.png"
"Serie A";"Inter de Milán";"real";"logos/serie a/inter.png"
"Serie A";"Juventus";"real";"logos/serie a/juventus.png"
"Serie A";"Lazio";"real";"logos/serie a/lazio.png"
"Serie A";"Lecce";"real";"logos/serie a/lecce.png"
"Serie A";"AC Milan";"real";"logos/serie a/milan.png"
"Serie A";"Napoli";"real";"logos/serie a/napoli.png"
"Serie A";"Parma";"real";"logos/serie a/parma.png"
"Serie A";"Pisa";"real";"logos/serie b/pisa.png"
"Serie A";"AS Roma";"real";"logos/serie a/roma.png"
"Serie A";"Sassuolo";"real";"logos/serie a/sassuolo.png"
"Serie A";"Torino";"real";"logos/serie a/torino.png"
"Serie A";"Udinese";"real";"logos/serie a/udinese.png"
"Ligue 1";"Angers SCO";"real";"logos/ligue-1/angers.png"
"Ligue 1";"AJ Auxerre";"real";"logos/ligue-1/auxerre.png"
"Ligue 1";"Stade Brestois";"real";"logos/ligue-1/stadebretois.png"
"Ligue 1";"Le Havre AC";"real";"logos/ligue-1/havre.png"
"Ligue 1";"RC Lens";"real";"logos/ligue-1/racinglens.png"
"Ligue 1";"LOSC Lille";"real";"logos/ligue-1/lille.png"
"Ligue 1";"FC Lorient";"real";"logos/ligue-1/lorient.png"
"Ligue 1";"Olympique Lyonnais";"real";"logos/ligue-1/olympiquelyon.png"
"Ligue 1";"Olympique de Marsella";"real";"logos/ligue-1/olimpiquemarsella.png"
"Ligue 1";"FC Metz";"real";"logos/ligue-2/france_fc-metz_128x128.football-logos.cc.png"
"Ligue 1";"AS Monaco";"real";"logos/ligue-1/monaco.png"
"Ligue 1";"FC Nantes";"real";"logos/ligue-2/france_nantes_128x128.football-logos.cc.png"
"Ligue 1";"OGC Nice";"real";"logos/ligue-1/niza.png"
"Ligue 1";"Paris FC";"real";"logos/ligue-1/paris_fc.png"
"Ligue 1";"Paris Saint-Germain";"real";"logos/ligue-1/psg.png"
"Ligue 1";"Stade Rennais";"real";"logos/ligue-1/rennais.png"
"Ligue 1";"RC Estrasburgo";"real";"logos/ligue-1/racingetrasburgo.png"
"Ligue 1";"Toulouse FC";"real";"logos/ligue-1/toulouse.png"
"Bundesliga";"FC Augsburg";"real";"logos/bundesliga/augsburgo.png"
"Bundesliga";"Bayer Leverkusen";"real";"logos/bundesliga/bayerleverkusen.png"
"Bundesliga";"Bayern de Múnich";"real";"logos/bundesliga/bayernmunchen.png"
"Bundesliga";"Borussia Dortmund";"real";"logos/bundesliga/borussiadortmund.png"
"Bundesliga";"Eintracht Frankfurt";"real";"logos/bundesliga/eintrachtfrankfurt.png"
"Bundesliga";"SC Friburgo";"real";"logos/bundesliga/freiburg.png"
"Bundesliga";"Hamburger SV";"real";"logos/bundesliga/hamburgo.png"
"Bundesliga";"1. FC Heidenheim";"real";"logos/bundesliga.2/germany_fc-heidenheim_128x128.football-logos.cc.png"
"Bundesliga";"TSG Hoffenheim";"real";"logos/bundesliga/hoffenheim.png"
"Bundesliga";"1. FC Köln";"real";"logos/bundesliga/koln.png"
"Bundesliga";"RB Leipzig";"real";"logos/bundesliga/rbleipzig.png"
"Bundesliga";"1. FSV Mainz 05";"real";"logos/bundesliga/mainz05.png"
"Bundesliga";"Borussia Mönchengladbach";"real";"logos/bundesliga/bmonchengladbach.png"
"Bundesliga";"FC St. Pauli";"real";"logos/bundesliga.2/germany_st-pauli_128x128.football-logos.cc.png"
"Bundesliga";"VfB Stuttgart";"real";"logos/bundesliga/stuttgart.png"
"Bundesliga";"1. FC Union Berlin";"real";"logos/bundesliga/unionberlin.png"
"Bundesliga";"Werder Bremen";"real";"logos/bundesliga/werderbremen.png"
"Bundesliga";"VfL Wolfsburg";"real";"logos/bundesliga.2/germany_wolfsburg_128x128.football-logos.cc.png"
"Liga Profesional Argentina";"Aldosivi";"real";"logos/lpf-argentina/aldosivi.png"
"Liga Profesional Argentina";"Argentinos Juniors";"real";"logos/lpf-argentina/argentinos.png"
"Liga Profesional Argentina";"Atlético Tucumán";"real";"logos/lpf-argentina/atleticotucuman.png"
"Liga Profesional Argentina";"Banfield";"real";"logos/lpf-argentina/banfield.png"
"Liga Profesional Argentina";"Barracas Central";"real";"logos/lpf-argentina/barracas.png"
"Liga Profesional Argentina";"Belgrano";"real";"logos/lpf-argentina/belgrano.png"
"Liga Profesional Argentina";"Boca Juniors";"generado";""
"Liga Profesional Argentina";"Central Córdoba";"real";"logos/lpf-argentina/centralcordoba.png"
"Liga Profesional Argentina";"Defensa y Justicia";"real";"logos/lpf-argentina/defensa.png"
"Liga Profesional Argentina";"Deportivo Riestra";"real";"logos/lpf-argentina/riestra.png"
"Liga Profesional Argentina";"Estudiantes de La Plata";"real";"logos/lpf-argentina/estudiantes.png"
