===========================================================
  VALORACIONES DEL SIMULADOR
===========================================================

  Escribe el numero despues de la barra "|". Ejemplo:

    Arsenal                                  | 85

  - Deja en blanco lo que no quieras tocar.
  - No cambies los nombres ni las cabeceras entre corchetes:
    son los que sirven para volcar los datos al juego.
  - Las lineas que empiezan por # son comentarios.


###########################################################
#  EUROPA (UEFA)
###########################################################

-- Inglaterra / Premier League  [premier]  (20) --
Arsenal                                  | 87
Aston Villa                              | 83
Bournemouth                              | 80
Brentford                                | 79
Brighton                                 | 80
Chelsea                                  | 85
Coventry City                            | 74
Crystal Palace                           | 78
Everton                                  | 77
Fulham                                   | 75
Hull City                                | 78
Ipswich Town                             | 76
Leeds United                             | 76
Liverpool                                | 86
Manchester City                          | 88
Manchester United                        | 83
Newcastle United                         | 81
Nottingham Forest                        | 77
Sunderland                               | 79
Tottenham Hotspur                        | 80

-- Inglaterra / EFL Championship  [championship]  (24) --
Birmingham City                          | 69
Blackburn Rovers                         | 72
Bolton Wanderers                         | 70
Bristol City                             | 67
Burnley                                  | 72
Cardiff City                             | 68
Charlton Athletic                        | 67
Derby County                             | 68
Lincoln City                             | 66
Middlesbrough                            | 72
Millwall                                 | 67
Norwich City                             | 69
Portsmouth                               | 68
Preston North End                        | 68
Queens Park Rangers                      | 67
Sheffield United                         | 68
Southampton                              | 72
Stoke City                               | 71
Swansea City                             | 70
Watford                                  | 70
West Bromwich Albion                     | 69
West Ham United                          | 73
Wolverhampton                            | 73
Wrexham                                  | 66

-- Inglaterra / EFL League One  [league1]  (24) --
AFC Wimbledon                            | 62
Barnsley                                 | 64
Blackpool                                | 66
Bradford City                            | 64
Bromley                                  | 63
Burton Albion                            | 64
Cambridge United                         | 62
Doncaster Rovers                         | 63
Huddersfield Town                        | 65
Leicester City                           | 70
Leyton Orient                            | 63
Luton Town                               | 68
Mansfield Town                           | 62
Milton Keynes Dons                       | 63
Notts County                             | 61
Oxford United                            | 65
Peterborough United                      | 66
Plymouth Argyle                          | 63
Reading                                  | 69
Sheffield Wednesday                      | 67
Stevenage                                | 61
Stockport County                         | 60
Wigan Athletic                           | 67
Wycombe Wanderers                        | 62

-- Inglaterra / EFL League Two  [league2]  (24) --
Accrington Stanley                       | 57
Barnet                                   | 55
Bristol Rovers                           | 56
Cheltenham Town                          | 57
Chesterfield                             | 56
Colchester United                        | 55
Crawley Town                             | 55
Crewe Alexandra                          | 58
Exeter City                              | 58
Fleetwood Town                           | 57
Gillingham                               | 57
Grimsby Town                             | 58
Newport County                           | 56
Northampton Town                         | 58
Oldham Athletic                          | 56
Port Vale                                | 58
Rochdale                                 | 56
Rotherham United                         | 55
Salford City                             | 54
Shrewsbury Town                          | 55
Swindon Town                             | 57
Tranmere Rovers                          | 54
Walsall                                  | 56
York City                                | 53

-- Italia / Serie A  [seriea]  (20) --
AC Milan                                 | 83
AS Roma                                  | 83
Atalanta                                 | 80
Bologna                                  | 79
Cagliari                                 | 74
Como                                     | 78
Fiorentina                               | 77
Frosinone                                | 69
Genoa                                    | 72
Inter de Milán                           | 85
Juventus                                 | 82
Lazio                                    | 79
Lecce                                    | 71
Monza                                    | 69
Napoli                                   | 81
Parma                                    | 77
Sassuolo                                 | 75
Torino                                   | 77
Udinese                                  | 77
Venezia                                  | 69

-- Italia / Serie B  [serieb]  (20) --
Arezzo                                   | 63
Ascoli                                   | 62
Avellino                                 | 62
Benevento                                | 65
Carrarese                                | 61
Catanzaro                                | 64
Cesena                                   | 66
Cremonese                                | 65
Empoli                                   | 67
Hellas Verona                            | 70
Juve Stabia                              | 63
Mantova                                  | 63
Modena                                   | 63
Padova                                   | 62
Palermo                                  | 71
Pisa                                     | 65
Sampdoria                                | 69
Südtirol                                 | 63
Vicenza                                  | 64
Virtus Entella                           | 62

-- España / LaLiga  [laliga]  (20) --
Athletic Club                            | 80
Atlético de Madrid                       | 84
CA Osasuna                               | 77
Celta de Vigo                            | 76
Deportivo Alavés                         | 76
Deportivo de La Coruña                   | 77
Elche CF                                 | 74
FC Barcelona                             | 89
Getafe CF                                | 75
Levante UD                               | 73
Málaga CF                                | 74
Racing de Santander                      | 73
Rayo Vallecano                           | 76
RCD Espanyol                             | 76
Real Betis                               | 79
Real Madrid                              | 89
Real Sociedad                            | 78
Sevilla FC                               | 75
Valencia CF                              | 75
Villarreal CF                            | 78

-- España / LaLiga Hypermotion  [laliga2]  (22) --
AD Ceuta                                 | 63
Albacete                                 | 67
Burgos CF                                | 65
Cádiz CF                                 | 66
CD Castellón                             | 62
CD Eldense                               | 62
CD Leganés                               | 67
CD Tenerife                              | 67
CE Sabadell                              | 63
Córdoba CF                               | 65
Cultural Leonesa                         | 64
FC Andorra                               | 61
Girona FC                                | 72
Granada CF                               | 68
RCD Mallorca                             | 71
Real Oviedo                              | 68
Real Sociedad B                          | 60
Real Valladolid                          | 67
SD Eibar                                 | 65
Sporting de Gijón                        | 68
UD Almería                               | 69
UD Las Palmas                            | 68

-- Alemania / Bundesliga  [bundesliga]  (18) --
1. FC Köln                               | 72
1. FC Union Berlin                       | 74
1. FSV Mainz 05                          | 72
Bayer Leverkusen                         | 81
Bayern de Múnich                         | 89
Borussia Dortmund                        | 83
Borussia Mönchengladbach                 | 75
Eintracht Frankfurt                      | 78
FC Augsburg                              | 73
FC Schalke 04                            | 76
Hamburger SV                             | 75
RB Leipzig                               | 79
SC Friburgo                              | 76
SC Paderborn 07                          | 68
SV Elversberg                            | 72
TSG Hoffenheim                           | 74
VfB Stuttgart                            | 77
Werder Bremen                            | 74

-- Alemania / 2. Bundesliga  [bundesliga2]  (18) --
1. FC Heidenheim                         | 69
1. FC Kaiserslautern                     | 66
1. FC Magdeburg                          | 63
1. FC Nürnberg                           | 67
Arminia Bielefeld                        | 65
Dynamo Dresden                           | 64
Eintracht Braunschweig                   | 64
Energie Cottbus                          | 64
FC St. Pauli                             | 66
Greuther Fürth                           | 64
Hannover 96                              | 68
Hertha BSC                               | 70
Holstein Kiel                            | 64
Karlsruher SC                            | 63
SV Darmstadt 98                          | 64
VfL Bochum                               | 65
VfL Osnabrück                            | 62
VfL Wolfsburg                            | 72

-- Francia / Ligue 1  [ligue1]  (18) --
AJ Auxerre                               | 71
Angers SCO                               | 68
AS Monaco                                | 78
ES Troyes AC                             | 67
FC Lorient                               | 69
